Code,Tag No,Equipment Class,Trade,Work Type,Request Date,WO Start Date,WO End Date,Total Hours Work
152498/7,Comp_B,COMPRESSOR,WORKSHOP,PREVENTIVE MAINTENANCE,14020803,14020823,14020823,1
152498/6,Comp_B,COMPRESSOR,WORKSHOP,PREVENTIVE MAINTENANCE,14020801,14020801,14020802,3
152498/5,Comp_B,COMPRESSOR,WORKSHOP,PREVENTIVE MAINTENANCE,14020706,14020710,14020710,8
152498/4,Comp_B,COMPRESSOR,CRAFT,PREVENTIVE MAINTENANCE,14020704,14020716,14020716,10
152498/3,Comp_B,COMPRESSOR,CRAFT,PREVENTIVE MAINTENANCE,14020704,14020705,14020705,21
152498/2,Comp_B,COMPRESSOR,Condition Monitoring,PREVENTIVE MAINTENANCE,14020704,14020704,14020704,4
152498/11,Comp_B,COMPRESSOR,WORKSHOP,PREVENTIVE MAINTENANCE,14020806,14020807,14020807,3
152498/10/1,Comp_B,COMPRESSOR,WORKSHOP,PREVENTIVE MAINTENANCE,14020808,14020809,14020809,1
152498/10,Comp_B,COMPRESSOR,WORKSHOP,PREVENTIVE MAINTENANCE,14020804,14020806,14020809,27
152498/1,Comp_B,COMPRESSOR,CRAFT,PREVENTIVE MAINTENANCE,14020328,14020328,14020328,12
152498,Comp_B,COMPRESSOR,MACHINERY,PREVENTIVE MAINTENANCE,14020320,14020705,14020809,33
152411,Comp_E,COMPRESSOR,CRAFT,SERVICE,14020318,14020327,14020327,4
152383/1,Comp_E,COMPRESSOR,INSTRUMENT,CORRECTIVE,14020320,14020413,14020413,2
152383,Comp_E,COMPRESSOR,INSTRUMENT,CORRECTIVE,14020317,14020317,14020317,2
152003/1,Comp_C,COMPRESSOR,CRAFT,CORRECTIVE,14020320,14020321,14020321,8
152003,Comp_C,VALVE,FIX MECHANICAL,CORRECTIVE,14020314,14020505,14020505,5
151551,Comp_E,COMPRESSOR,INSTRUMENT,CORRECTIVE,14020313,14020313,14020314,3
151543,Comp_C,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14020312,14020314,14020314,5
151505,Comp_E,COMPRESSOR,INSTRUMENT,CORRECTIVE,14020310,14020310,14020314,20
151402,Comp_D,COMPRESSOR,Condition Monitoring,PREVENTIVE MAINTENANCE,14020308,14020308,14020308,1
151401,Comp_A,COMPRESSOR,Condition Monitoring,PREVENTIVE MAINTENANCE,14020308,14020308,14020308,1
151400,Comp_B,COMPRESSOR,Condition Monitoring,PREVENTIVE MAINTENANCE,14020308,14020308,14020308,1
151399,Comp_C,COMPRESSOR,Condition Monitoring,PREVENTIVE MAINTENANCE,14020308,14020308,14020308,1
151398,Comp_E,COMPRESSOR,Condition Monitoring,PREVENTIVE MAINTENANCE,14020308,14020308,14020308,1
